"IndaBox","IndaBox"
"Title","Titolo"
"Cost","Costo"
"Maximum Subtotal","Subtotale Massimo"
"Maximum Weight","Peso Massimo"
"Terms and Conditions Url","Url Termini e Condizioni"
"Google Maps API Key","Chiave API Google Maps"
"Applicable payments","Pagamenti Applicabili"
"Point","Punto"
"Please specify Merchant ID","Specificare il Merchant ID"
"Please specify API Key","Specificare l´API Key"
"Could not communicate with server","Impossibile comunicare col server"
"Invalid server reply","Risposta server non valida"
"Could not submit order","Non è stato possibile inviare l´ordine."
"All Allowed Payments","Tutti i Pagamenti Consentiti"
"Specific Payments","Specifici Pagamenti"
"Invalid search parameters.","Parametri di ricerca non validi."
"Error while communicating with IndaBox. Please retry later.","Si è verificato un errore durante la comunicazione con IndaBox. Riprovare a breve."
"Location does not found","Location non trovata"
"Your browser does not support iframes.","Il tuo browser non supporta gli iframe."
"Loading","Caricando"
"No points found around given location","Non è stato trovato alcun punto IndaBox nelle vicinanze della location inserita."
"Another search is already running","Vi è  già un´altra ricerca in corso."
"You should accept IndaBox terms and conditions","E´ necessario accettare i termini e condizioni IndaBox"
"Distance","Distanza"
"Selected pick-up point","Hai selezionato il seguente punto di ritiro"
"You should select one of available pick-up points to continue","Selezionare un punto di ritiro dalla mappa prima di continuare"
"Select this pick-up point","Seleziona questo punto di ritiro"
"Radius","Raggio"
"IndaBox Store Pickup","Ricevi il tuo acquisto in uno dei punti di ritiro IndaBox (<a target=""_blank"" href=""http://www.indabox.it"">www.indabox.it</a>)"
"I accept IndaBox terms and conditions","Accetto i termini di utilizzo del servizio indicati"
"Search for pick-up points","Cerca un punto di ritiro"
"You are viewing the collection points closest to the address below. If you want, you can enter a different address.","Stai visualizzando i punti di ritiro vicini al seguente indirizzo. <br/>Se vuoi, puoi inserire un indirizzo differente."
"I accept <a href=""http://www.indabox.it/termini-eco/"" target=""_blank"">IndaBox Terms of Service</a>","Accetto <a href=""http://www.indabox.it/termini-eco/"" target=""_blank"">IndaBox Termini di Servizio</a>"
"Accept TOS","Accettare Termini di Servizio"
"IndaBox Point","IndaBox Point"
"For all the information on installing and configuring the module and IndaBox Merchant Account, you can refer to <a href=""%s"" target=""_blank"">this page</a>","Per tutte le informazioni sull´installazione e la configurazione del modulo e IndaBox Merchant Account, è possibile fare riferimento a <a href=""%s"" target=""_blank"">questa pagina</a>"
"Hours","Orari"
"Warning! Do not select ""Cash on Delivery"" methods, as we do not support them","Attenzione! Non selezionare il contrassegno come metodo di pagamento compatibile, la merce non verrà ritirata"
